# Address	TypeOfHouse	Price$	Bedrooms	Bathrooms	SqftHome	AcresLot	CarSpace
27943 Camino Del Rio San Juan Capistrano CA 92675	House	$730,000	4 bd	2+ ba	1,778 sqft	3,484 sqft lot	2 car
26481 Paseo Tranquila San Juan Capistrano CA 92675	House	$1,571,950	4 bd	4+ ba	2,616 sqft	0.27 acres lot	2 car
26541 Paseo Tranquila San Juan Capistrano CA 92675	House	$1,680,000	5 bd	5+ ba	4,396 sqft	0.26 acres lot	3 car
32061 Cook Ln San Juan Capistrano CA 92675	House	$3,300,000	6 bd	6+ ba	6,680 sqft	1.0 acres lot	7 car
32280 Via Angelica San Juan Capistrano CA 92675	House	$2,695,000	4 bd	4+ ba	4,018 sqft	0.36 acres lot	3 car
33111 Southwind Ct San Juan Capistrano CA 92675	House	$599,000	3 bd	2+ ba	1,433 sqft	1,092 sqft lot	2 car
28301 Camino La Ronda San Juan Capistrano CA 92675	House	$1,599,900	5 bd	4 ba	3,547 sqft	0.34 acres lot	3 car
32742 Alipaz St Spc 99 San Juan Capistrano CA 92675	Mobile Home	$285,000	3 bd	2 ba	1,440 sqft	No lot	No car
25546 Spinnaker Dr San Juan Capistrano CA 92675	House	$599,900	2 bd	2 ba	1,225 sqft	3,115 sqft lot	2 car
26491 Park Cir San Juan Capistrano CA 92675	House	$619,900	3 bd	2+ ba	1,615 sqft	4,400 sqft lot	2 car
32221 Alipaz St Apt 111 San Juan Capistrano CA 92675	Condo/Townhome	$270,000	1 bd	1 ba	764 sqft	No lot	1 car
32302 Alipaz St Spc 36 San Juan Capistrano CA 92675	Mobile Home	$229,900	2 bd	2 ba	1,400 sqft	No lot	yes car
27273 Via Capri San Juan Capistrano CA 92675	Condo/Townhome	$699,000	2 bd	2+ ba	1,390 sqft	No lot	2 car
27172 Paseo Burladero Apt B San Juan Capistrano CA 92675	House	$610,000	2 bd	3 ba	1,680 sqft	1,724 sqft lot	2 car
27208 Paseo Lomita San Juan Capistrano CA 92675	Condo/Townhome	$659,900	3 bd	2 ba	1,463 sqft	3,000 sqft lot	2 car
30838 Calle Chueca San Juan Capistrano CA 92675	House	$469,900	2 bd	1+ ba	1,187 sqft	1,652 sqft lot	2 car
26512 Via La Jolla San Juan Capistrano CA 92675	House	$1,499,990	4 bd	3+ ba	3,527 sqft	6,486 sqft lot	2 car
25686 Compass Way San Juan Capistrano CA 92675	House	$689,000	3 bd	2+ ba	1,649 sqft	2,324 sqft lot	2 car
32412 Lookout Ct San Juan Capistrano CA 92675	House	$695,000	3 bd	2 ba	1,417 sqft	3,403 sqft lot	2 car
30952 Via Bravo San Juan Capistrano CA 92675	House	$1,625,000	4 bd	4+ ba	3,950 sqft	0.27 acres lot	3 car
33872 Calle Borrego San Juan Capistrano CA 92675	House	$800,000	4 bd	3+ ba	2,781 sqft	0.27 acres lot	2 car
26513 Paseo San Gabriel San Juan Capistrano CA 92675	Condo/Townhome	$312,000	2 bd	1 ba	897 sqft	100.0 acres lot	1 car
26631 Paseo Durango San Juan Capistrano CA 92675	House	$548,900	3 bd	2 ba	1,050 sqft	3,282 sqft lot	yes car
31755 Aguacate Rd San Juan Capistrano CA 92675	House	$2,395,000	6 bd	4+ ba	4,700 sqft	0.59 acres lot	2 car
30552 Hilltop Way San Juan Capistrano CA 92675	House	$5,488,000	9 bd	9+ ba	14,147 sqft	2.52 acres lot	7 car
26541 Briarwood Ln San Juan Capistrano CA 92675	House	$639,000	3 bd	2+ ba	1,615 sqft	5,145 sqft lot	2 car
28931 Via Hacienda San Juan Capistrano CA 92675	House	$1,169,000	4 bd	3 ba	2,637 sqft	9,350 sqft lot	3 car
31942 Via De Linda San Juan Capistrano CA 92675	House	$899,900	4 bd	2+ ba	1,875 sqft	0.23 acres lot	3 car
30312 Marbella Vis San Juan Capistrano CA 92675	House	$2,780,000	4 bd	4+ ba	5,377 sqft	0.24 acres lot	5 car
